,Greetings,Lost Phone,Buy Phone,Password/Username Forgotten,Bonus Program,Technical Problems,Webmail,Roaming
0,[0.07380003482103348],"[0.16362836956977844, 0.0343804806470871]","[0.07968196272850037, 0.0963999405503273, 0.04517786577343941]","[0.09912686049938202, 0.10418430715799332]","[0.09266635775566101, 0.07843175530433655]","[0.13423879444599152, 0.1441519558429718]","[0.07537023723125458, 0.08956605195999146]","[0.08210069686174393, 0.10722199827432632]"
1,[0.5006265044212341],"[0.07317627966403961, 0.07544638216495514]","[0.01600617729127407, 0.028432205319404602, -0.00970783643424511]","[0.13604173064231873, 0.06953363865613937]","[0.05956565961241722, -0.02714145928621292]","[0.014473138377070427, 0.09002431482076645]","[0.01605978235602379, 0.1019834578037262]","[0.0007688049226999283, 0.013631977140903473]"
2,[0.018271733075380325],"[0.12194384634494781, 0.18879187107086182]","[0.05243571102619171, 0.06970436871051788, 0.06520748883485794]","[0.11361781507730484, 0.07542550563812256]","[0.09942658990621567, 0.07085394859313965]","[0.08274126797914505, 0.0618596225976944]","[0.1441013067960739, 0.0808366909623146]","[0.09505550563335419, 0.09272345155477524]"
3,[0.05555010959506035],"[0.459223210811615, 0.20267832279205322]","[0.24815259873867035, 0.061821337789297104, 0.07409634441137314]","[0.09936133772134781, 0.07571779191493988]","[0.10283980518579483, 0.14153945446014404]","[0.21172578632831573, 0.05317811667919159]","[0.10160128772258759, 0.17272603511810303]","[0.13163509964942932, 0.12107736617326736]"
4,[0.007633090019226074],"[0.3998199999332428, 0.2806054949760437]","[0.3621407449245453, 0.10366082191467285, 0.10695435106754303]","[0.11009363830089569, 0.07700859010219574]","[0.1361577808856964, 0.12050805240869522]","[0.32352256774902344, 0.09122124314308167]","[0.13129238784313202, 0.13114455342292786]","[0.12885217368602753, 0.14904382824897766]"
"test",[0.04037631303071976],"[0.3127340078353882, 0.10029963403940201]","[0.1551269143819809, 0.07709289342164993, 0.1243995949625969]","[0.09106757491827011, 0.18890380859375]","[0.1131577268242836, 0.11288260668516159]","[0.1635039746761322, 0.056414611637592316]","[0.07046304643154144, 0.07680120319128036]","[0.08589105308055878, 0.10628771781921387]"
6,[-0.05900075286626816],"[0.4029969871044159, 0.0658724308013916]","[0.16232022643089294, 0.02316294237971306, 0.06509518623352051]","[0.16273567080497742, 0.061016444116830826]","[0.08316788077354431, 0.03273370862007141]","[0.10027386248111725, 0.07545292377471924]","[0.11079595983028412, 0.1208944320678711]","[0.10385996848344803, 0.10957913100719452]"
7,[0.0029663369059562683],"[0.4077502489089966, 0.20809444785118103]","[0.24088454246520996, 0.14837375283241272, 0.06126312166452408]","[0.11481712013483047, 0.16609172523021698]","[0.1337355226278305, 0.17609450221061707]","[0.23564817011356354, 0.10904422402381897]","[0.12860988080501556, 0.16851766407489777]","[0.12379608303308487, 0.12320517003536224]"
8,[-0.001752179116010666],"[0.4291568100452423, 0.1523818075656891]","[0.26076483726501465, 0.08952270448207855, 0.09557800740003586]","[0.09402556717395782, 0.0923154428601265]","[0.11064012348651886, 0.08380082249641418]","[0.24616578221321106, 0.062143564224243164]","[0.07807888090610504, 0.1534791886806488]","[0.0997900441288948, 0.08291791379451752]"
9,[0.06439849734306335],"[0.3221080005168915, 0.18734261393547058]","[0.35279473662376404, 0.11804274469614029, 0.09254886209964752]","[0.0792316347360611, 0.060064803808927536]","[0.12053778022527695, 0.09063157439231873]","[0.20195038616657257, 0.001315731555223465]","[0.029321476817131042, 0.1406065821647644]","[0.09317053854465485, 0.09048110246658325]"
10,[0.0667925551533699],"[0.2897173762321472, 0.2043914496898651]","[0.5018466711044312, 0.08815174549818039, 0.142609104514122]","[0.17485205829143524, 0.06103253364562988]","[0.15766912698745728, 0.16622567176818848]","[0.2497158944606781, 0.07718048244714737]","[0.0709933489561081, 0.09402693808078766]","[0.11673210561275482, 0.13241823017597198]"
11,[0.012592882849276066],"[0.3176197409629822, 0.2402946650981903]","[0.4171696603298187, 0.15806885063648224, 0.1640135645866394]","[0.07988140732049942, 0.059502974152565]","[0.1747308373451233, 0.0921914279460907]","[0.29940348863601685, 0.052879974246025085]","[0.10556983947753906, 0.11584243923425674]","[0.14786478877067566, 0.13914646208286285]"
12,[0.05108571797609329],"[0.3345400094985962, 0.2953439950942993]","[0.5191699266433716, 0.11220404505729675, 0.24691876769065857]","[0.11812277883291245, 0.06374766677618027]","[0.2580305337905884, 0.18929225206375122]","[0.2954016327857971, 0.043759785592556]","[0.18153318762779236, 0.1725296676158905]","[0.18698422610759735, 0.18067827820777893]"
13,[0.0581904761493206],"[0.2809198796749115, 0.1810101866722107]","[0.40549707412719727, 0.1018667072057724, 0.1017344743013382]","[0.18779592216014862, 0.07150059193372726]","[0.12843291461467743, 0.11512956023216248]","[0.22001755237579346, 0.022876745089888573]","[0.08348404616117477, 0.12682825326919556]","[0.12817582488059998, 0.1273692101240158]"
14,[0.11044023931026459],"[0.33832207322120667, 0.2798629105091095]","[0.4663483202457428, 0.1926957070827484, 0.18311423063278198]","[0.17286035418510437, 0.1300765872001648]","[0.21201670169830322, 0.19330763816833496]","[0.3339810073375702, 0.17699077725410461]","[0.21845439076423645, 0.11779548972845078]","[0.10794422030448914, 0.14599299430847168]"
15,[0.06225793436169624],"[0.15007682144641876, 0.0959479808807373]","[0.05506591498851776, 0.01754065975546837, 0.05913902819156647]","[0.5461809039115906, 0.06266257166862488]","[0.04865159094333649, 0.14048543572425842]","[0.14002537727355957, 0.06907486170530319]","[0.19638310372829437, 0.5289574265480042]","[0.11311125755310059, 0.060613133013248444]"
16,[0.07510965317487717],"[0.1222071498632431, 0.09716419875621796]","[0.09459716826677322, 0.046056829392910004, 0.13421837985515594]","[0.5453096032142639, 0.07352961599826813]","[0.0643223375082016, 0.1640620231628418]","[0.17046226561069489, 0.09129079431295395]","[0.23979538679122925, 0.5110043287277222]","[0.12765896320343018, 0.05315837264060974]"
17,[0.09898646920919418],"[0.20941081643104553, 0.14804863929748535]","[0.17608842253684998, 0.13623762130737305, 0.23873844742774963]","[0.3832676410675049, 0.1958547979593277]","[0.1390557438135147, 0.2116623818874359]","[0.28222161531448364, 0.2088683545589447]","[0.38363924622535706, 0.4007623493671417]","[0.20004715025424957, 0.1750759482383728]"
18,[0.14592184126377106],"[0.3465859293937683, 0.18309737741947174]","[0.262675940990448, 0.14728176593780518, 0.2194795310497284]","[0.3832295835018158, 0.21206548810005188]","[0.17817717790603638, 0.2235994040966034]","[0.25761979818344116, 0.15091416239738464]","[0.25722217559814453, 0.31615743041038513]","[0.27962344884872437, 0.21591058373451233]"
19,[0.15217724442481995],"[0.15899750590324402, 0.17182579636573792]","[0.15645386278629303, 0.026651592925190926, 0.14124329388141632]","[0.5890165567398071, 0.17544326186180115]","[0.11181320250034332, 0.22215944528579712]","[0.23005737364292145, 0.17836230993270874]","[0.3314002752304077, 0.4390847980976105]","[0.18004822731018066, 0.1317378580570221]"
20,[0.06539057195186615],"[0.2679283618927002, 0.08700346201658249]","[0.05535189062356949, 0.0020883120596408844, 0.1022239625453949]","[0.5493561029434204, 0.06330091506242752]","[0.05781684070825577, 0.14362922310829163]","[0.1388922929763794, 0.0636555403470993]","[0.19141097366809845, 0.5067203044891357]","[0.1363702416419983, 0.08877896517515182]"
21,[0.0773237869143486],"[0.1598300337791443, 0.13023096323013306]","[0.10176453739404678, 0.03682565689086914, 0.16288325190544128]","[0.5756102800369263, 0.10607440024614334]","[0.10799029469490051, 0.24965029954910278]","[0.22381974756717682, 0.11442102491855621]","[0.3077298700809479, 0.6298220157623291]","[0.17664042115211487, 0.10326667129993439]"
22,[0.0694887563586235],"[0.1977585256099701, 0.09789115935564041]","[0.0681295245885849, 0.033258385956287384, 0.06551907956600189]","[0.4807826578617096, 0.17304840683937073]","[0.05961824208498001, 0.156451016664505]","[0.1591120809316635, 0.07165675610303879]","[0.17522549629211426, 0.48164603114128113]","[0.1121513694524765, 0.07098985463380814]"
23,[0.092139832675457],"[0.2717899680137634, 0.20007367432117462]","[0.20967674255371094, 0.2358480989933014, 0.16163590550422668]","[0.162059023976326, 0.2054525762796402]","[0.5419936776161194, 0.2633885443210602]","[0.1907113492488861, 0.20038056373596191]","[0.18910528719425201, 0.21265220642089844]","[0.12549670040607452, 0.16918499767780304]"
24,[0.07685971260070801],"[0.19352233409881592, 0.15186835825443268]","[0.1472000628709793, 0.15484276413917542, 0.1983632892370224]","[0.08171157538890839, 0.15324610471725464]","[0.49632227420806885, 0.23211383819580078]","[0.1373693346977234, 0.12639456987380981]","[0.1342424750328064, 0.13191013038158417]","[0.08373230695724487, 0.21988266706466675]"
25,[0.08123871684074402],"[0.08435951173305511, 0.1330643892288208]","[0.12362508475780487, 0.16584789752960205, 0.0979657918214798]","[0.08537551015615463, 0.07020899653434753]","[0.5025469064712524, 0.2927793264389038]","[0.08764819800853729, 0.10973307490348816]","[0.08736991137266159, 0.08384903520345688]","[0.0723879486322403, 0.16124801337718964]"
26,[0.09557630866765976],"[0.118555948138237, 0.09603241831064224]","[0.0638224184513092, 0.06679727882146835, 0.05097737908363342]","[0.08163171261548996, 0.13233187794685364]","[0.28437772393226624, 0.1374097466468811]","[0.11821439117193222, 0.13375981152057648]","[0.12416969239711761, 0.10674428939819336]","[0.06840939074754715, 0.03395531699061394]"
27,[0.096615731716156],"[0.2429947853088379, 0.1718401312828064]","[0.2528225779533386, 0.196079820394516, 0.1600698083639145]","[0.22983670234680176, 0.17760111391544342]","[0.4791063964366913, 0.15054088830947876]","[0.2602263391017914, 0.23517167568206787]","[0.22877663373947144, 0.2053631693124771]","[0.14053627848625183, 0.253419429063797]"
28,[0.052303753793239594],"[0.3329795002937317, 0.30635499954223633]","[0.3231595754623413, 0.18558233976364136, 0.1287110447883606]","[0.2115282118320465, 0.1336941421031952]","[0.37959328293800354, 0.2441079318523407]","[0.2944616377353668, 0.19365942478179932]","[0.19849994778633118, 0.15969473123550415]","[0.17795680463314056, 0.2053503841161728]"
29,[0.13655970990657806],"[0.18960285186767578, 0.1983175128698349]","[0.17968443036079407, 0.2910919189453125, 0.1516563892364502]","[0.16441497206687927, 0.15623308718204498]","[0.3342550992965698, 0.4393908381462097]","[0.171579971909523, 0.12111146748065948]","[0.20178250968456268, 0.1666019707918167]","[0.2080569863319397, 0.2327379733324051]"
30,[0.007939919829368591],"[0.4033709764480591, 0.27595818042755127]","[0.31791946291923523, 0.09071910381317139, 0.13009434938430786]","[0.15023303031921387, 0.25503191351890564]","[0.11348604410886765, 0.11749259382486343]","[0.5185182094573975, 0.12234736233949661]","[0.13778583705425262, 0.17690196633338928]","[0.14562258124351501, 0.10109259188175201]"
31,[0.056759029626846313],"[0.364226758480072, 0.24864163994789124]","[0.24990853667259216, 0.02883344702422619, 0.07996444404125214]","[0.08021175861358643, 0.0597727969288826]","[0.04445720091462135, 0.06085841730237007]","[0.2770577669143677, 0.0454515665769577]","[0.03350236266851425, 0.11209261417388916]","[0.10165802389383316, 0.08632713556289673]"
32,[0.06034936010837555],"[0.30673927068710327, 0.23593862354755402]","[0.28227466344833374, 0.04074492305517197, 0.1167772188782692]","[0.08311864733695984, 0.06722118705511093]","[0.04535309970378876, 0.11955036222934723]","[0.2774852216243744, 0.07569653540849686]","[0.10764671862125397, 0.10495494306087494]","[0.0788160115480423, 0.05979876592755318]"
33,[0.007582131773233414],"[0.35847708582878113, 0.2316644787788391]","[0.273747980594635, 0.09121288359165192, 0.10281874239444733]","[0.08490744978189468, 0.17854776978492737]","[0.1593879759311676, 0.13937392830848694]","[0.3483555316925049, 0.11395092308521271]","[0.08191072195768356, 0.17316517233848572]","[0.12541821599006653, 0.07362358272075653]"
34,[0.008483104407787323],"[0.37076663970947266, 0.2747671604156494]","[0.31898629665374756, 0.10579318553209305, 0.1328478455543518]","[0.13491535186767578, 0.23933495581150055]","[0.13794264197349548, 0.13992652297019958]","[0.4564419090747833, 0.11470665782690048]","[0.1516738384962082, 0.17227834463119507]","[0.15026214718818665, 0.1259104460477829]"
35,[0.1047322005033493],"[0.2897273600101471, 0.20814356207847595]","[0.20827487111091614, 0.05316789448261261, 0.07855115085840225]","[0.07946307212114334, 0.077200748026371]","[0.0870501697063446, 0.12314614653587341]","[0.351069837808609, 0.06117776781320572]","[0.061873890459537506, 0.12110055983066559]","[0.08461751788854599, 0.08199993520975113]"
36,[0.014709524810314178],"[0.1278194785118103, 0.10993580520153046]","[0.11819880455732346, 0.045713748782873154, 0.1337067186832428]","[0.1189551129937172, 0.24742496013641357]","[0.061754487454891205, 0.12281980365514755]","[0.29447054862976074, 0.07882753014564514]","[0.13223206996917725, 0.13551029562950134]","[0.09622784703969955, 0.12340055406093597]"
37,[-0.017128385603427887],"[0.13394415378570557, 0.06284980475902557]","[0.06897109001874924, 0.07185821980237961, 0.06922586262226105]","[0.043767496943473816, 0.1403276026248932]","[0.08075068891048431, 0.07025790214538574]","[0.11263801157474518, 0.09905064105987549]","[0.07751583307981491, 0.10304762423038483]","[0.06628063321113586, 0.07447546720504761]"
38,[0.11787381023168564],"[0.22343367338180542, 0.2521747946739197]","[0.336017906665802, 0.13732966780662537, 0.2502714991569519]","[0.33130204677581787, 0.19256383180618286]","[0.21827146410942078, 0.1724272072315216]","[0.25091004371643066, 0.1556307077407837]","[0.41802605986595154, 0.18125943839550018]","[0.2434847056865692, 0.18295522034168243]"
39,[0.15199503302574158],"[0.3027280867099762, 0.3105418384075165]","[0.2657371759414673, 0.05090169608592987, 0.23470951616764069]","[0.3387589752674103, 0.351412296295166]","[0.31686145067214966, 0.2026021033525467]","[0.4054757356643677, 0.371501624584198]","[0.3914799690246582, 0.20481064915657043]","[0.267947256565094, 0.1563420593738556]"
40,[0.16568663716316223],"[0.15107440948486328, 0.2931329011917114]","[0.26061636209487915, -0.0001569315791130066, 0.23954612016677856]","[0.34955331683158875, 0.14997372031211853]","[0.23583509027957916, 0.18573611974716187]","[0.20882494747638702, 0.09647979587316513]","[0.41473931074142456, 0.1961584985256195]","[0.24280551075935364, 0.13126134872436523]"
41,[0.057654865086078644],"[0.24056094884872437, 0.25511181354522705]","[0.12985798716545105, 0.02115241438150406, 0.10113371908664703]","[0.41919243335723877, 0.22351102530956268]","[0.12182977050542831, 0.25729817152023315]","[0.2571120262145996, 0.23817865550518036]","[0.402999609708786, 0.34870773553848267]","[0.22625792026519775, 0.12550288438796997]"
42,[0.1134929209947586],"[0.3121512830257416, 0.2497069239616394]","[0.16751965880393982, 0.07412677258253098, 0.1496403068304062]","[0.2757413387298584, 0.3428143858909607]","[0.2770453095436096, 0.14537295699119568]","[0.37812647223472595, 0.34815526008605957]","[0.3094502091407776, 0.18670153617858887]","[0.23889321088790894, 0.12808790802955627]"
43,[0.10633803904056549],"[0.18594534695148468, 0.264984130859375]","[0.3137891888618469, 0.14144402742385864, 0.25106585025787354]","[0.33817362785339355, 0.17157968878746033]","[0.21133260428905487, 0.1908172070980072]","[0.2629789710044861, 0.17308443784713745]","[0.4277671277523041, 0.17717081308364868]","[0.22848919034004211, 0.1565224528312683]"
44,[0.11498090624809265],"[0.16022846102714539, 0.30008572340011597]","[0.08987005800008774, 0.07956811785697937, 0.16906586289405823]","[0.5100066661834717, 0.19745305180549622]","[0.09118100255727768, 0.2243238389492035]","[0.25398510694503784, 0.19799832999706268]","[0.4881037175655365, 0.33684971928596497]","[0.23590104281902313, 0.17285354435443878]"
45,[0.09277550131082535],"[0.18338719010353088, 0.36379992961883545]","[0.26771408319473267, 0.03809468448162079, 0.24096429347991943]","[0.46025922894477844, 0.17108933627605438]","[0.19516795873641968, 0.19752229750156403]","[0.20223627984523773, 0.15942907333374023]","[0.5264368653297424, 0.24966031312942505]","[0.25345733761787415, 0.129104346036911]"
46,[0.13951803743839264],"[0.17572788894176483, 0.24420230090618134]","[0.25951695442199707, 0.016063541173934937, 0.24372562766075134]","[0.3008613586425781, 0.13442449271678925]","[0.2928929030895233, 0.15193650126457214]","[0.18225398659706116, 0.06809066236019135]","[0.32896286249160767, 0.1684633046388626]","[0.22209548950195312, 0.11887980997562408]"
47,[0.03199409693479538],"[0.16138224303722382, 0.18392065167427063]","[0.1214025616645813, 0.09252792596817017, 0.08079390227794647]","[0.07201303541660309, 0.13371452689170837]","[0.16096150875091553, 0.12199882417917252]","[0.1287129670381546, 0.10033555328845978]","[0.06868311762809753, 0.169826477766037]","[0.2864645719528198, 0.30961164832115173]"
48,[0.08144895732402802],"[0.15850156545639038, 0.21491043269634247]","[0.1777629256248474, 0.17288896441459656, 0.18161101639270782]","[0.12019196897745132, 0.08329518139362335]","[0.15793852508068085, 0.23263047635555267]","[0.1709643453359604, 0.14943718910217285]","[0.13869833946228027, 0.11557665467262268]","[0.3892856240272522, 0.5566553473472595]"
49,[0.03669729083776474],"[0.1383015215396881, 0.3775228261947632]","[0.07404886931180954, 0.11407125741243362, 0.07906828820705414]","[0.05894298478960991, 0.08287426084280014]","[0.09016461670398712, 0.07543176412582397]","[0.12641561031341553, 0.12791649997234344]","[0.07977184653282166, 0.08900896459817886]","[0.34740790724754333, 0.3375380337238312]"
